time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,loc_name,loc_admin1,loc_admin2,loc_cc
30:21.4,35.33,-97.48,10,2.6,ml,,,,,us,usp000094v,2014-11-06T23:21:27.851Z,"Oklahoma City urban area, Oklahoma",earthquake,,,,,reviewed,m,tul,Moore,Oklahoma,Cleveland County,US
25:02.8,34.139,-97.369,5,3.4,lg,,,,,us,usp0000csk,2014-11-06T23:21:31.918Z,Oklahoma,earthquake,,,,,reviewed,us,tul,Wilson,Oklahoma,Carter County,US
58:11.2,34.816,-97.406,20,3.2,lg,,,,,us,usp0000d4a,2014-11-06T23:21:32.248Z,Oklahoma,earthquake,,,,,reviewed,us,tul,Maysville,Oklahoma,Garvin County,US
29:40.9,34.521,-97.347,5,3.5,lg,,,,,us,usp0000dsb,2014-11-06T23:21:32.839Z,Oklahoma,earthquake,,,,,reviewed,us,slm,Wynnewood,Oklahoma,Garvin County,US
59:44.2,36.107,-99.875,5,3.4,,,,,,us,usp0000fwz,2014-11-06T23:21:34.833Z,Oklahoma,earthquake,,,,,reviewed,us,tul,Arnett,Oklahoma,Ellis County,US
42:42.2,36.134,-99.841,5,3.5,,,,,,us,usp0000fya,2014-11-06T23:21:34.862Z,Oklahoma,earthquake,,,,,reviewed,us,tul,Arnett,Oklahoma,Ellis County,US
39:35.6,35.187,-99.812,5,3,,,,,,us,usp0001150,2014-11-06T23:22:02.344Z,Oklahoma,earthquake,,,,,reviewed,d,tul,Erick,Oklahoma,Beckham County,US
49:19.8,35.219,-99.518,5,3.4,,,,,,us,usp00012xa,2014-11-06T23:22:05.405Z,Oklahoma,earthquake,,,,,reviewed,us,tul,Sayre,Oklahoma,Beckham County,US
00:49.3,35.472,-97.777,8,3,,,,,,us,usp0001amx,2014-11-06T23:24:27.049Z,Oklahoma,earthquake,,,,,reviewed,g,tul,Yukon,Oklahoma,Canadian County,US
09:22.5,34.884,-97.677,5,3.5,mblg,,,,,us,usp0001emz,2014-11-07T00:29:46.469Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Lindsay,Oklahoma,Garvin County,US
54:50.0,34.07,-96.38,5,3,mblg,,,,,us,usp0001m33,2014-11-07T00:31:15.750Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Durant,Oklahoma,Bryan County,US
50:45.3,36.791,-100.196,5,2.7,mblg,,,,1.2,us,usp0001tjg,2014-11-07T00:32:48.620Z,Oklahoma,earthquake,,,,,reviewed,us,tul,Laverne,Oklahoma,Harper County,US
14:49.8,36.16,-95.58,5,2.6,md,,,,,us,usp000212k,2014-11-07T00:34:21.755Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Inola,Oklahoma,Rogers County,US
38:27.1,34.657,-97.394,5,3.2,mblg,,,,0.7,us,usp00021rg,2014-11-07T00:34:27.804Z,Oklahoma,earthquake,,,,,reviewed,us,us,Maysville,Oklahoma,Garvin County,US
42:02.4,35.51,-96.3,5,2.6,mblg,,,,,us,usp00022dx,2014-11-07T00:34:35.307Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Okemah,Oklahoma,Okfuskee County,US
57:32.0,34.711,-97.414,5,2.9,mblg,,,,,us,usp000297w,2014-11-07T00:35:43.897Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Maysville,Oklahoma,Garvin County,US
03:43.1,34.629,-95.164,5,2.9,mblg,,,,1.1,us,usp0002k0v,2014-11-07T00:37:12.106Z,Oklahoma,earthquake,,,,,reviewed,us,tul,Talihina,Oklahoma,Le Flore County,US
35:33.3,34.224,-97.788,5,2,mblg,,,,0.6,us,usp0002mhe,2014-11-07T00:37:26.700Z,Oklahoma,earthquake,,,,,reviewed,us,tul,Ringling,Oklahoma,Jefferson County,US
27:25.8,34.76,-97.484,5,2.7,mblg,,,,0.8,us,usp0002pn1,2014-11-07T00:37:41.690Z,Oklahoma,earthquake,,,,,reviewed,us,tul,Maysville,Oklahoma,Garvin County,US
09:04.7,34.868,-95.373,5,1.8,mblg,,,,0.7,us,usp0002qzq,2014-11-07T00:37:55.111Z,Oklahoma,earthquake,,,,,reviewed,us,tul,Wilburton,Oklahoma,Latimer County,US
52:22.0,34.692,-97.479,5,2.3,mblg,,,,0.9,us,usp0002r9y,2014-11-07T00:37:56.730Z,Oklahoma,earthquake,,,,,reviewed,us,tul,Maysville,Oklahoma,Garvin County,US
