athleteid,lastname,firstname,birthdate,gender,name,code,eventid,heat,lane,points,reactiontime,swimtime,split,cumswimtime,splitdistance,daytime,round,distance,relaycount,stroke,splitswimtime
244414,KASHARI,ANXHELA,01/01/1996,F,ALBANIA,ALB,33,4,1,578,0.68,28.48,1,28.48,50,1000,PRE,50,1,FREE,28.48
244417,BORSHI,NOEL,01/01/1996,F,ALBANIA,ALB,1,2,3,591,0.73,66.77,1,30.84,50,1000,PRE,100,1,FLY,30.84
244417,BORSHI,NOEL,01/01/1996,F,ALBANIA,ALB,1,2,3,591,0.73,66.77,2,66.77,100,1000,PRE,100,1,FLY,35.93
244421,ZEKTHI,EVIN,01/01/1996,M,ALBANIA,ALB,12,1,4,607,0.7,120.43,1,27.67,50,1047,PRE,200,1,FREE,27.67
244421,ZEKTHI,EVIN,01/01/1996,M,ALBANIA,ALB,12,1,4,607,0.7,120.43,2,58.12,100,1047,PRE,200,1,FREE,30.45
244421,ZEKTHI,EVIN,01/01/1996,M,ALBANIA,ALB,12,1,4,607,0.7,120.43,3,89.17,150,1047,PRE,200,1,FREE,31.05
244421,ZEKTHI,EVIN,01/01/1996,M,ALBANIA,ALB,12,1,4,607,0.7,120.43,4,120.43,200,1047,PRE,200,1,FREE,31.26
244895,MECA,KLAVIO,01/01/1996,M,ALBANIA,ALB,2,1,6,558,0.78,267.25,1,29.27,50,1016,PRE,400,1,FREE,29.27
244895,MECA,KLAVIO,01/01/1996,M,ALBANIA,ALB,2,1,6,558,0.78,267.25,2,60.98,100,1016,PRE,400,1,FREE,31.71
244895,MECA,KLAVIO,01/01/1996,M,ALBANIA,ALB,2,1,6,558,0.78,267.25,3,94.37,150,1016,PRE,400,1,FREE,33.39
244895,MECA,KLAVIO,01/01/1996,M,ALBANIA,ALB,2,1,6,558,0.78,267.25,4,128.57,200,1016,PRE,400,1,FREE,34.2
244895,MECA,KLAVIO,01/01/1996,M,ALBANIA,ALB,2,1,6,558,0.78,267.25,5,163.15,250,1016,PRE,400,1,FREE,34.58
244895,MECA,KLAVIO,01/01/1996,M,ALBANIA,ALB,2,1,6,558,0.78,267.25,6,197.97,300,1016,PRE,400,1,FREE,34.82
244895,MECA,KLAVIO,01/01/1996,M,ALBANIA,ALB,2,1,6,558,0.78,267.25,7,233.84,350,1016,PRE,400,1,FREE,35.87
244895,MECA,KLAVIO,01/01/1996,M,ALBANIA,ALB,2,1,6,558,0.78,267.25,8,267.25,400,1016,PRE,400,1,FREE,33.41
244677,OUSSAMA,SAHNOUNE,01/01/1992,M,ALGERIA,ALG,19,8,9,835,0.69,49.81,1,23.97,50,1013,PRE,100,1,FREE,23.97
244677,OUSSAMA,SAHNOUNE,01/01/1992,M,ALGERIA,ALG,19,8,9,835,0.69,49.81,2,49.81,100,1013,PRE,100,1,FREE,25.84
244677,OUSSAMA,SAHNOUNE,01/01/1992,M,ALGERIA,ALG,27,10,9,815,0.67,22.41,1,22.41,50,1000,PRE,50,1,FREE,22.41
