genotype,bout_length,fish
het,12,1
het,33,1
het,0.96,1
het,4.98,1
het,1.98,1
het,1.98,1
het,4.98,1
het,30,1
het,16.98,1
het,22.02,1
het,4.02,1
het,30,1
het,10.98,1
het,0.96,1
het,1.02,1
het,11.04,1
het,24.96,1
het,1.02,1
het,6,1
het,20.04,1
het,49.02,1
het,3.96,1
het,25.02,1
het,5.04,1
het,1.98,1
het,38.04,1
het,6,1
het,7.02,1
het,64.02,1
het,1.98,1
het,1.02,1
het,1.98,1
het,4.02,1
het,8.04,1
het,4.02,1
het,7.02,1
het,20.04,1
het,1.02,1
wt,3,2
wt,3,2
wt,4.98,2
wt,2.04,2
wt,6,2
wt,3,2
wt,0.96,2
wt,10.02,2
wt,1.02,2
wt,1.02,2
wt,0.96,2
wt,1.98,2
wt,1.02,2
wt,1.02,2
wt,1.98,2
wt,1.02,2
wt,4.98,2
wt,1.02,2
wt,0.96,2
wt,4.02,2
wt,1.98,2
wt,3,2
wt,3.96,2
wt,3,2
wt,4.02,2
wt,0.96,2
wt,3.96,2
wt,4.98,2
wt,9,2
wt,1.02,2
wt,1.02,2
wt,4.98,2
wt,0.96,2
wt,9,2
wt,1.98,2
wt,10.02,2
wt,1.02,2
wt,0.96,2
wt,3,2
wt,3,2
wt,1.02,2
wt,0.96,2
wt,0.96,2
wt,0.96,2
wt,4.02,2
wt,4.98,2
wt,1.02,2
wt,2.04,2
wt,3,2
wt,1.98,2
wt,3,2
wt,2.04,2
wt,1.02,2
wt,0.96,2
wt,1.98,2
wt,3,2
wt,0.96,2
wt,3,2
wt,0.96,2
wt,1.98,2
wt,3,2
wt,4.02,2
wt,1.02,2
wt,3,2
wt,1.98,2
wt,7.98,2
wt,3,2
wt,1.02,2
wt,3,2
wt,1.02,2
wt,3.96,2
wt,5.04,2
wt,1.02,2
wt,0.96,2
wt,1.02,2
wt,2.04,2
wt,4.98,2
wt,6.96,2
wt,1.02,2
wt,4.02,2
wt,1.98,2
wt,3,2
wt,3,2
wt,1.98,2
wt,1.02,2
wt,1.02,2
wt,1.02,2
wt,1.02,2
wt,4.02,2
wt,1.02,2
wt,4.98,2
wt,1.02,2
wt,4.02,2
wt,4.02,2
wt,1.02,2
wt,4.98,2
wt,3.96,2
het,0.96,3
het,7.98,3
het,0.96,3
het,0.96,3
het,1.02,3
het,7.98,3
het,0.96,3
het,8.04,3
het,0.96,3
het,4.98,3
het,4.98,3
het,1.98,3
het,2.04,3
het,1.02,3
het,4.98,3
het,0.96,3
het,3,3
het,0.96,3
het,1.02,3
het,10.98,3
het,0.96,3
het,1.02,3
het,3,3
het,0.96,3
het,0.96,3
het,4.98,3
het,6,3
het,4.02,3
het,3.96,3
het,6,3
het,3,3
het,2.04,3
het,4.98,3
het,1.98,3
het,2.04,3
het,1.98,3
het,1.02,3
het,3,3
het,0.96,3
het,7.02,3
het,1.02,3
het,1.02,3
het,1.02,3
het,3,3
het,1.02,3
het,1.02,3
het,6.96,3
het,3,3
het,0.96,3
het,1.02,3
het,1.98,3
het,5.04,3
het,4.02,3
het,0.96,3
het,3,3
het,0.96,3
het,3,3
het,3.96,3
het,10.02,3
het,3,3
het,0.96,3
het,1.02,3
het,1.02,3
het,1.98,3
het,4.98,3
het,1.98,3
het,1.02,3
het,1.02,3
het,1.02,3
het,0.96,3
het,1.02,3
het,0.96,3
het,1.02,3
het,1.02,3
het,1.02,3
het,1.02,3
het,1.02,3
het,0.96,3
het,1.98,3
het,0.96,3
het,1.02,3
het,1.02,3
het,1.02,3
het,1.02,3
het,1.02,3
het,0.96,3
mut,1.98,4
mut,3,4
mut,2.04,4
mut,4.98,4
mut,10.98,4
mut,13.02,4
mut,13.02,4
mut,16.98,4
mut,3,4
mut,6,4
mut,15,4
mut,19.98,4
mut,6,4
mut,7.98,4
mut,4.02,4
mut,10.02,4
mut,6.96,4
mut,3,4
mut,6,4
mut,3,4
mut,1.02,4
mut,6,4
mut,5.04,4
mut,7.02,4
mut,18,4
mut,9,4
mut,1.02,4
mut,2.04,4
mut,3,4
mut,18,4
mut,6.96,4
mut,4.98,4
mut,1.98,4
mut,3.96,4
mut,2.04,4
mut,2.04,4
mut,5.04,4
mut,1.02,4
mut,10.02,4
mut,1.02,4
mut,4.98,4
mut,4.02,4
mut,1.02,4
mut,16.02,4
mut,1.02,4
mut,0.96,4
mut,9,4
mut,7.02,4
mut,1.98,4
mut,15.96,4
mut,3,4
mut,20.04,4
mut,3,4
mut,3,4
mut,3,4
mut,1.98,4
mut,4.98,4
mut,3,4
mut,0.96,4
mut,6,4
mut,7.98,4
mut,1.98,4
mut,3,4
mut,1.98,4
mut,1.98,4
mut,6,4
mut,0.96,4
mut,6,4
mut,16.98,4
het,3,5
het,10.98,5
het,48.96,5
het,13.02,5
het,27.96,5
het,3,5
het,3,5
het,1.02,5
het,25.02,5
het,1.02,5
het,1.02,5
het,3,5
het,4.02,5
het,12,5
het,8.04,5
het,23.04,5
het,6,5
het,0.96,5
het,4.02,5
het,3,5
het,7.98,5
het,1.02,5
het,3,5
het,4.98,5
het,0.96,5
het,1.98,5
het,25.98,5
het,37.98,5
het,1.02,5
het,5.04,5
het,4.02,5
het,13.02,5
het,4.98,5
het,0.96,5
het,4.98,5
het,0.96,5
het,10.98,5
het,2.04,5
het,20.04,5
het,10.02,5
het,19.98,5
het,6.96,5
het,3,5
het,1.02,5
het,1.98,5
het,16.98,5
het,7.98,5
het,4.98,5
het,3.96,5
het,7.98,5
het,2.04,6
het,1.02,6
het,12,6
het,3.96,6
het,1.02,6
het,1.02,6
het,4.98,6
het,6.96,6
het,1.02,6
het,3,6
het,0.96,6
het,3,6
het,3,6
het,12.96,6
het,7.02,6
het,1.02,6
het,1.02,6
het,1.02,6
het,1.02,6
het,3,6
het,1.02,6
het,6,6
het,1.98,6
het,1.02,6
het,8.04,6
het,3,6
het,0.96,6
het,1.98,6
het,1.02,6
het,3,6
het,27,6
het,9,6
het,1.98,6
het,0.96,6
het,15,6
het,4.02,6
het,0.96,6
het,0.96,6
het,4.98,6
het,0.96,6
het,0.96,6
het,0.96,6
het,31.02,6
het,2.04,6
het,2.04,6
het,0.96,6
het,3,6
het,3,6
het,4.02,6
het,3.96,6
het,4.02,6
het,9.96,6
het,16.02,6
het,1.02,6
het,7.02,6
het,0.96,6
het,3,6
het,3,6
het,3,6
het,1.02,6
het,14.04,6
het,1.02,6
het,1.02,6
het,7.02,6
het,3,6
het,1.98,6
het,6,6
het,2.04,6
het,1.98,8
het,3,8
het,1.98,8
het,1.98,8
het,4.98,8
het,1.98,8
het,5.04,8
het,2.04,8
het,3,8
het,1.02,8
het,1.02,8
het,2.04,8
het,1.02,8
het,6,8
het,1.02,8
het,3,8
het,9,8
het,3,8
het,1.98,8
het,3.96,8
het,1.98,8
het,4.98,8
het,1.98,8
het,3,8
het,12.96,8
het,1.02,8
het,1.98,8
het,3,8
het,3,8
het,8.04,8
het,1.02,8
het,1.02,8
het,2.04,8
het,17.04,8
het,3,8
het,7.02,8
het,6,8
het,3.96,8
het,1.02,8
het,3.96,8
het,7.98,8
het,3,8
het,1.02,8
het,3,8
het,4.98,8
het,3,8
het,7.98,8
het,2.04,8
het,2.04,8
het,1.02,8
het,8.04,8
het,9,8
het,3,8
het,1.02,8
het,3,8
het,4.02,8
het,1.98,8
het,4.98,8
het,3,8
het,3,8
het,1.98,8
het,4.98,8
het,1.98,8
het,4.98,8
het,0.96,8
het,9.96,8
het,1.02,8
het,10.98,8
het,10.02,8
het,7.98,8
het,3,8
het,4.98,8
het,3,8
het,7.02,8
het,10.02,8
het,1.02,8
het,1.98,8
het,1.98,8
het,6,8
het,2.04,8
het,5.04,8
het,4.02,8
het,7.02,8
het,6,8
het,0.96,8
het,4.98,8
het,1.02,8
het,7.02,8
het,1.98,8
het,3.96,8
het,3,8
het,8.04,8
het,1.02,8
het,4.98,8
het,9,8
het,7.02,8
het,6.96,8
het,1.02,8
het,4.98,8
het,0.96,10
het,1.02,10
het,2.04,10
het,1.02,10
het,1.98,10
het,4.02,10
het,1.02,10
het,1.02,10
het,0.96,10
het,1.02,10
het,1.02,10
het,4.02,10
het,3.96,10
het,4.98,10
het,1.02,10
het,1.02,10
het,1.02,10
het,1.02,10
het,2.04,10
het,1.02,10
het,1.98,10
het,1.98,10
het,1.98,10
het,3,10
het,4.02,10
het,4.02,10
het,1.98,10
het,2.04,10
het,3,10
het,1.98,10
het,3,10
het,9,10
het,1.02,10
het,1.02,10
het,1.98,10
het,0.96,10
het,1.02,10
het,6,10
het,8.04,10
het,1.02,10
het,0.96,10
het,4.98,10
het,3,10
het,2.04,10
het,4.02,10
het,4.98,10
het,1.02,10
het,3,10
het,2.04,10
het,0.96,10
het,4.02,10
het,1.98,10
het,0.96,10
het,3,10
het,0.96,10
het,3,10
het,3,10
het,3.96,10
het,4.98,10
het,0.96,10
het,1.02,10
het,6,10
het,1.02,10
het,2.04,10
het,1.98,10
het,1.98,10
het,3,10
het,5.04,10
het,2.04,10
het,1.02,10
het,1.02,10
het,4.98,10
het,0.96,10
het,1.02,10
het,4.02,10
het,3,10
het,1.02,10
het,3,10
het,2.04,10
het,3,10
het,1.98,10
het,1.98,10
het,3.96,10
het,4.02,10
het,4.98,10
het,0.96,10
het,1.02,10
het,1.02,10
het,0.96,10
het,1.02,10
het,3,10
het,3,10
het,1.02,10
het,0.96,10
het,1.02,10
het,2.04,10
het,1.98,10
het,0.96,10
het,3,10
het,1.98,10
het,3,10
het,1.02,10
het,2.04,10
het,4.98,10
het,3,10
het,4.98,10
het,15,10
het,16.02,10
het,2.04,10
het,6,10
het,1.98,10
het,1.98,10
het,4.98,10
het,7.98,10
het,1.98,10
het,4.98,10
het,0.96,10
het,1.98,10
het,4.98,10
het,6,10
het,2.04,10
het,5.04,10
het,3,10
het,1.98,10
het,3,10
het,4.02,10
het,4.98,10
het,0.96,10
het,1.02,10
het,1.02,10
het,3,10
het,3,10
het,3,10
mut,36,11
mut,7.02,11
mut,15.96,11
mut,8.04,11
mut,2.04,11
mut,1.98,11
mut,19.98,11
mut,3.96,11
mut,1.98,11
mut,4.98,11
mut,12.96,11
mut,1.98,11
mut,18,11
mut,0.96,11
mut,1.98,11
mut,15,11
mut,32.04,11
mut,0.96,11
mut,3,11
mut,7.02,11
mut,1.02,11
mut,7.02,11
mut,19.02,11
mut,4.98,11
mut,7.02,11
mut,3.96,11
mut,25.98,11
mut,4.98,11
mut,18,11
mut,2.04,11
mut,6,11
mut,15,11
mut,15,11
mut,6,11
mut,3,11
mut,1.02,11
mut,28.02,11
mut,1.02,11
mut,3,11
mut,33,11
mut,27,11
mut,12,11
mut,13.02,11
mut,9,11
mut,3,11
mut,12,11
mut,1.98,11
mut,3,11
mut,1.98,12
mut,22.98,12
mut,10.98,12
mut,1.98,12
mut,3,12
mut,10.98,12
mut,13.02,12
mut,30,12
mut,11.04,12
mut,7.02,12
mut,0.96,12
mut,1.02,12
mut,16.98,12
mut,23.04,12
mut,28.02,12
mut,6,12
mut,21,12
mut,0.96,12
mut,1.98,12
mut,7.98,12
mut,2.04,12
mut,10.02,12
mut,1.98,12
mut,15,12
mut,7.98,12
mut,7.98,12
mut,4.02,12
mut,3,12
mut,6.96,12
mut,1.02,12
mut,5.04,12
mut,16.02,12
mut,10.98,12
mut,3,12
mut,3,12
mut,18,12
mut,25.98,12
mut,1.02,12
mut,25.02,12
mut,6,12
mut,0.96,12
mut,17.04,12
mut,1.02,12
mut,0.96,12
mut,0.96,12
mut,1.98,12
mut,13.02,12
mut,19.02,12
mut,1.02,12
mut,3,12
mut,1.02,12
mut,3,13
mut,1.98,13
mut,13.98,13
mut,0.96,13
mut,7.98,13
mut,6,13
mut,1.02,13
mut,3,13
mut,3,13
mut,9,13
mut,12,13
mut,6,13
mut,6,13
mut,4.02,13
mut,0.96,13
mut,0.96,13
mut,10.98,13
mut,12.96,13
mut,9,13
mut,8.04,13
mut,31.02,13
mut,12,13
mut,7.02,13
mut,11.04,13
mut,22.02,13
mut,4.02,13
mut,11.04,13
mut,3,13
mut,22.02,13
mut,4.02,13
mut,8.04,13
mut,11.04,13
mut,37.02,13
mut,1.98,13
mut,16.98,13
mut,3,13
mut,11.04,13
mut,16.02,13
mut,21,13
mut,9,13
mut,1.02,13
mut,1.02,13
mut,1.98,13
mut,9,13
mut,3,13
mut,3.96,13
mut,1.98,13
mut,1.98,13
mut,1.98,13
mut,4.98,13
mut,9,13
mut,7.02,13
mut,0.96,13
mut,10.02,13
mut,9.96,13
mut,3,13
mut,0.96,13
mut,1.98,13
mut,24.96,13
mut,7.98,13
wt,3,14
wt,10.02,14
wt,1.98,14
wt,2.04,14
wt,0.96,14
wt,3,14
wt,3,14
wt,0.96,14
wt,3,14
wt,1.98,14
wt,3,14
wt,5.04,14
wt,1.02,14
wt,1.02,14
wt,4.98,14
wt,1.02,14
wt,3,14
wt,3,14
wt,1.98,14
wt,0.96,14
wt,5.04,14
wt,1.98,14
wt,3,14
wt,3,14
wt,3,14
wt,4.02,14
wt,9.96,14
wt,5.04,14
wt,5.04,14
wt,1.98,14
wt,15.96,14
wt,1.98,14
wt,5.04,14
wt,0.96,14
wt,3.96,14
wt,3,14
wt,3,14
wt,0.96,14
wt,3,14
wt,0.96,14
wt,1.02,14
wt,2.04,14
wt,1.02,14
wt,1.02,14
wt,1.98,14
wt,1.98,14
wt,1.98,14
wt,1.98,14
wt,1.98,14
wt,1.98,14
wt,9,14
wt,7.02,14
wt,4.02,14
wt,1.02,14
wt,2.04,14
wt,1.02,14
wt,13.98,14
wt,4.02,14
wt,3,14
wt,0.96,14
wt,6.96,14
wt,3.96,14
wt,4.02,14
wt,1.02,14
wt,1.02,14
het,1.02,15
het,6,15
het,13.02,15
het,1.98,15
het,6,15
het,21,15
het,1.98,15
het,1.02,15
het,1.02,15
het,1.98,15
het,3.96,15
het,31.02,15
het,4.02,15
het,0.96,15
het,18,15
het,0.96,15
het,3.96,15
het,15,15
het,3,15
het,3.96,15
het,1.02,15
het,15,15
het,1.98,15
