bacterial area (sq. microns),time (hr)
5.574735,0
5.71202325,0.25
5.90339475,0.5
6.19461225,0.75
6.456708,1
6.85193175,1.25
7.17643125,1.5
7.56749475,1.75
8.087526,2
8.586756,2.25
8.74900575,2.5
9.48120975,2.75
10.03868325,3
10.550394,3.25
11.13698925,3.5
11.765187,3.75
12.38506425,4
13.07566575,4.25
13.7371455,4.5
14.377824,4.75
14.89785525,5
15.5177325,5.25
16.341462,5.5
17.31912075,5.75
18.4132665,6
19.5947775,6.25
20.96766,6.5
22.07844675,6.75
23.41804725,7
24.6702825,7.25
26.25533775,7.5
28.00264275,7.75
29.6293005,8
31.41404775,8.25
33.31944225,8.5
35.59925925,8.75
37.974762,9
40.787091,9.25
43.749189,9.5
46.8028125,9.75
50.28494175,10
53.467533,10.25
57.644424,10.5
61.438572,10.75
64.72932975,11
68.3861895,11.25
71.539659,11.5
75.85383825,11.75
81.61994475,12
86.050611,12.25
91.53798075,12.5
98.231823,12.75
104.2766662,13
110.862342,13.25
118.31751,13.5
